resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
128,Sleepy Hollows Sports Park,Des Moines,Iowa,938,800,138,80,8,2,0,25,
140,Spruce Mountain Ski Slope,Jay,Maine,310,10,300,0,12,3,0,25,
141,Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,25,
180,Mount Zion Ski Hill,Ironwood,Michigan,1400,1100,300,20,9,2,0,25,
189,Hickory Hills Ski Area,Traverse City,Michigan,0,0,237,125,8,5,0,25,
257,Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7,2,0,25,
428,Mount Ashwabay Ski and Recreation Area,Bayfield,Wisconsin,0,0,317,65,13,2,0,26,
438,Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1375,1000,375,40,12,5,42,26,
124,Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7,6,24,28,
192,Afton Alps,Afton,Minnesota,700,350,350,300,50,22,60,28,
350,Boyce Park Four Seasons Lodge,Plum,Pennsylvania,1245,1115,130,25,9,5,0,28,
424,Oglebay Resort,Wheeling,West Virginia,0,0,168,0,1,1,0,28,
365,Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14,4,150,29,
4,Mount Eyak,Cordova,Alaska,1200,400,800,100,10,2,350,30,
95,Howelson Hill,Steamboat Springs,Colorado,7136,6696,440,50,17,4,150,30,
139,Big Squaw Mountain,Greenville,Maine,2920,1300,1620,1216,33,1,136,30,
277,Catamount Ski Area,Great Barrington,New York,2000,1000,1000,119,36,7,75,30,
